V1 V2
777 IL6 IRAK2
778 IL6 IRAK3
779 JUN IL6
780 NFKBIA IL6
781 IL6 TGFB2
782 IL6 TGFB3
783 IRAK2 IRAK3
784 JUN IRAK2
785 MAP2K6 IRAK2
786 NFKBIA IRAK2
787 TGFB2 IRAK2
788 TGFB3 IRAK2
789 TNF IRAK2
790 JUN IRAK3
791 MAP2K6 IRAK3
792 NFKBIA IRAK3
793 TGFB2 IRAK3
794 TGFB3 IRAK3
795 TNF IRAK3
796 NFKBIA JUN
797 JUN TGFB2
798 JUN TGFB3
799 JUN TNF
800 FOS CD14
801 JUN CD14
802 CD14 LY96
803 MAP2K6 CD14
804 NFKBIA CD14
805 CD14 PGLYRP1
806 TLR2 CD14
807 CD14 TLR3
808 TLR4 CD14
809 CD14 TLR6
810 CD14 TLR7
811 CD14 TLR9
812 FOS LY96
813 FOS PGLYRP1
814 FOS TLR2
815 FOS TLR3
816 FOS TLR4
817 FOS TLR6
818 FOS TLR7
819 FOS TLR9
820 JUN LY96
821 JUN PGLYRP1
822 JUN TLR2
823 JUN TLR3
824 JUN TLR4
825 JUN TLR6
826 JUN TLR7
827 JUN TLR9
828 MAP2K6 LY96
829 NFKBIA LY96
830 LY96 PGLYRP1
831 TLR2 LY96
832 LY96 TLR3
833 TLR4 LY96
834 LY96 TLR6
835 LY96 TLR7
836 LY96 TLR9
837 MAP2K6 PGLYRP1
838 MAP2K6 TLR3
839 MAP2K6 TLR4
840 MAP2K6 TLR6
841 MAP2K6 TLR7
842 MAP2K6 TLR9
843 NFKBIA PGLYRP1
844 NFKBIA TLR3
845 NFKBIA TLR6
846 NFKBIA TLR7
847 NFKBIA TLR9
848 TLR2 PGLYRP1
849 PGLYRP1 TLR3
850 TLR4 PGLYRP1
851 PGLYRP1 TLR6
852 PGLYRP1 TLR7
853 PGLYRP1 TLR9
854 TLR2 TLR3
855 TLR2 TLR4
856 TLR2 TLR6
857 TLR2 TLR7
858 TLR2 TLR9
859 TLR4 TLR3
860 TLR3 TLR6
861 TLR3 TLR7
862 TLR3 TLR9
863 TLR4 TLR6
864 TLR4 TLR7
865 TLR4 TLR9
866 TLR6 TLR7
867 TLR6 TLR9
868 TLR7 TLR9
869 FOS FOSL1
870 FOS FOSL2
871 FOS TNFRSF11A
872 FOSL1 FOSL2
873 NFKBIA FOSL1
874 FOSL1 TNFRSF11A
875 NFKBIA FOSL2
876 FOSL2 TNFRSF11A
877 NFKBIA TNFRSF11A
878 GZMB H1F0
879 GZMB H1FX
880 H1F0 H1FX
881 GZMB GZMA
882 GZMA NME1
883 GZMA PRF1
884 GZMB NME1
885 GZMB PRF1
886 NME1 PRF1
887 FOS CD36
888 GZMA CD36
889 JUN CD36
890 FOS GZMA
891 JUN GZMA
892 JUN CASP1
893 NFKBIA BIRC3
894 TNF BIRC3
895 BIRC3 LMNB1
896 TNF LMNB1
897 ACTA1 TNFRSF25
898 ACTA1 TNFSF10
899 TNFRSF25 TNFSF10
900 CASP1 BIRC3
901 GZMB BIRC3
902 PRF1 BIRC3
903 CASP1 GZMB
904 CASP1 LMNB1
905 CASP1 PRF1
906 GZMB LMNB1
907 PRF1 LMNB1
908 BIRC3 FAS
909 BIRC3 FASLG
910 FAS FASLG
911 LMNB1 FAS
912 NFKBIA FAS
913 TNF FAS
914 LMNB1 FASLG
915 NFKBIA FASLG
916 TNF FASLG
917 NFKBIA LMNB1
918 ACTA1 FAS
919 ACTA1 FASLG
920 HSPB1 ACTA1
921 TNF ACTA1
922 HSPB1 FAS
923 HSPB1 FASLG
924 HSPB1 TNF
925 CDK1 RASGRF1
926 EDN1 HSP90AA1
927 JUN EDN1
928 EDN1 NOS3
929 EDN1 VEGFA
930 JUN HSP90AA1
931 HSP90AA1 NOS3
932 HSP90AA1 VEGFA
933 JUN NOS3
934 JUN VEGFA
935 NOS3 VEGFA
936 JUN CDKN1A
937 NFKBIA CDKN1A
938 CDKN1A SOD2
939 JUN SOD2
940 NFKBIA SOD2
941 ITGA2B JAK3
942 ITGA2B LCK
943 PIK3R1 ITGA2B
944 JAK3 LCK
945 PIK3R1 JAK3
946 PIK3R1 LCK
947 APOA1 APOA2
948 DUSP1 APOA1
949 APOA1 EHHADH
950 APOA1 FABP1
951 HSP90AA1 APOA1
