V1 V2
849 CCL3 HLA-DMB
850 CCL3 HLA-DOA
851 CCL3 HLA-DOB
852 CCL3 HLA-DPA1
853 CCL3 HLA-DPB1
854 CCL3 HLA-DQA1
855 CCL3 HLA-DQB1
856 CCL3 HLA-DRA
857 CCL3 HLA-DRB1
858 CCL3 HLA-DRB5
859 CCL3 ICAM1
860 CCL3 IFNG
861 CCL3 IL18
862 CCL3 IL1B
863 CCL3 IL6
864 CCL3 ITGAL
865 CCL3 ITGB2
866 JUN CCL3
867 CCL3 LTB
868 CCL3 MMP1
869 CCL3 MMP3
870 CCL3 TGFB2
871 CCL3 TGFB3
872 CCL3 TLR2
873 CCL3 TLR4
874 CCL3 TNF
875 CCL3 TNFRSF11A
876 CCL3 TNFSF13B
877 CCL3 VEGFA
878 CCL5 CCL3L1
879 CCL3L1 CD28
880 CCL3L1 CD80
881 CCL3L1 CD86
882 CCL3L1 CSF1
883 CCL3L1 CTLA4
884 CTSK CCL3L1
885 CXCL1 CCL3L1
886 CCL3L1 CXCL12
887 CCL3L1 CXCL5
888 CCL3L1 CXCL6
889 CXCL8 CCL3L1
890 CCL3L1 FLT1
891 CCL3L1 FOS
892 CCL3L1 HLA-DMB
893 CCL3L1 HLA-DOA
894 CCL3L1 HLA-DOB
895 CCL3L1 HLA-DPA1
896 CCL3L1 HLA-DPB1
897 CCL3L1 HLA-DQA1
898 CCL3L1 HLA-DQB1
899 CCL3L1 HLA-DRA
900 CCL3L1 HLA-DRB1
901 CCL3L1 HLA-DRB5
902 CCL3L1 ICAM1
903 CCL3L1 IFNG
904 CCL3L1 IL18
905 CCL3L1 IL1B
906 CCL3L1 IL6
907 CCL3L1 ITGAL
908 CCL3L1 ITGB2
909 JUN CCL3L1
910 CCL3L1 LTB
911 CCL3L1 MMP1
912 CCL3L1 MMP3
913 CCL3L1 TGFB2
914 CCL3L1 TGFB3
915 CCL3L1 TLR2
916 CCL3L1 TLR4
917 CCL3L1 TNF
918 CCL3L1 TNFRSF11A
919 CCL3L1 TNFSF13B
920 CCL3L1 VEGFA
921 CCL5 CD28
922 CCL5 CD80
923 CCL5 CD86
924 CCL5 CSF1
925 CCL5 CTLA4
926 CTSK CCL5
927 CCL5 CXCL12
928 CCL5 CXCL5
929 CCL5 CXCL6
930 CCL5 FLT1
931 CCL5 FOS
932 CCL5 HLA-DMB
933 CCL5 HLA-DOA
934 CCL5 HLA-DOB
935 CCL5 HLA-DPA1
936 CCL5 HLA-DPB1
937 CCL5 HLA-DQA1
938 CCL5 HLA-DQB1
939 CCL5 HLA-DRA
940 CCL5 HLA-DRB1
941 CCL5 HLA-DRB5
942 CCL5 ICAM1
943 CCL5 IFNG
944 CCL5 IL18
945 CCL5 IL1B
946 CCL5 IL6
947 CCL5 ITGAL
948 CCL5 ITGB2
949 CCL5 LTB
950 CCL5 MMP1
951 CCL5 MMP3
952 CCL5 TGFB2
953 CCL5 TGFB3
954 CCL5 TLR2
955 CCL5 TLR4
956 CCL5 TNF
957 CCL5 TNFRSF11A
958 CCL5 TNFSF13B
959 CCL5 VEGFA
960 CD28 CD80
961 CD28 CD86
962 CD28 CSF1
963 CD28 CTLA4
964 CTSK CD28
965 CXCL1 CD28
966 CD28 CXCL12
967 CD28 CXCL5
968 CD28 CXCL6
969 CXCL8 CD28
970 CD28 FLT1
971 CD28 FOS
972 CD28 HLA-DMB
973 CD28 HLA-DOA
974 CD28 HLA-DOB
975 CD28 HLA-DPA1
976 CD28 HLA-DPB1
977 CD28 HLA-DQA1
978 CD28 HLA-DQB1
979 CD28 HLA-DRA
980 CD28 HLA-DRB1
981 CD28 HLA-DRB5
982 CD28 ICAM1
983 CD28 IFNG
984 CD28 IL18
985 CD28 IL1B
986 CD28 IL6
987 CD28 ITGAL
988 CD28 ITGB2
989 JUN CD28
990 CD28 LTB
991 CD28 MMP1
992 CD28 MMP3
993 CD28 TGFB2
994 CD28 TGFB3
995 CD28 TLR2
996 CD28 TLR4
997 CD28 TNF
998 CD28 TNFRSF11A
999 CD28 TNFSF13B
1000 CD28 VEGFA
1001 CD80 CD86
1002 CD80 CSF1
1003 CD80 CTLA4
1004 CTSK CD80
