V1 V2
819 PLAT TGFBI
820 PLAT VCAM1
821 PLAU SPON2
822 PLAU TGFBI
823 PLAU VCAM1
824 PLAUR SPON2
825 PLAUR TGFBI
826 PLAUR VCAM1
827 SPON2 TGFBI
828 THY1 SPON2
829 SPON2 VCAM1
830 THY1 TGFBI
831 TGFBI VCAM1
832 THY1 VCAM1
833 CTRC CTSG
834 CTRC ELANE
835 FGA CTRC
836 FGB CTRC
837 FGG CTRC
838 CTRC FN1
839 CTRC FPR1
840 CTRC FPR2
841 CTRC FPR3
842 CTRC HGF
843 ITGAM CTRC
844 ITGB2 CTRC
845 CTRC ITGB3
846 CTRC KLK4
847 MMP3 CTRC
848 MMP9 CTRC
849 CTRC PDGFD
850 PLAU CTRC
851 PLAUR CTRC
852 PLG CTRC
853 CTRC SERPINE1
854 CTRC VLDLR
855 CTRC VTN
856 CTSG ELANE
857 FGA CTSG
858 FGB CTSG
859 FGG CTSG
860 CTSG FN1
861 CTSG FPR1
862 CTSG FPR2
863 CTSG FPR3
864 CTSG HGF
865 ITGAM CTSG
866 ITGB2 CTSG
867 CTSG ITGB3
868 CTSG KLK4
869 MMP3 CTSG
870 MMP9 CTSG
871 CTSG PDGFD
872 PLAU CTSG
873 PLAUR CTSG
874 PLG CTSG
875 CTSG SERPINE1
876 CTSG VLDLR
877 CTSG VTN
878 FGA ELANE
879 FGB ELANE
880 FGG ELANE
881 ELANE FN1
882 ELANE FPR1
883 ELANE FPR2
884 ELANE FPR3
885 ELANE HGF
886 ITGAM ELANE
887 ITGB2 ELANE
888 ELANE ITGB3
889 ELANE KLK4
890 MMP3 ELANE
891 MMP9 ELANE
892 ELANE PDGFD
893 PLAU ELANE
894 PLAUR ELANE
895 PLG ELANE
896 ELANE SERPINE1
897 ELANE VLDLR
898 ELANE VTN
899 FGA FN1
900 FGA FPR1
901 FGA FPR2
902 FGA FPR3
903 FGA HGF
904 FGA ITGB3
905 FGA KLK4
906 MMP3 FGA
907 MMP9 FGA
908 FGA PDGFD
909 PLG FGA
910 FGA SERPINE1
911 FGA VLDLR
912 FGA VTN
913 FGB FN1
914 FGB FPR1
915 FGB FPR2
916 FGB FPR3
917 FGB HGF
918 FGB ITGB3
919 FGB KLK4
920 MMP3 FGB
921 MMP9 FGB
922 FGB PDGFD
923 PLG FGB
924 FGB SERPINE1
925 FGB VLDLR
926 FGB VTN
927 FGG FN1
928 FGG FPR1
929 FGG FPR2
930 FGG FPR3
931 FGG HGF
932 FGG ITGB3
933 FGG KLK4
934 MMP3 FGG
935 MMP9 FGG
936 FGG PDGFD
937 PLG FGG
938 FGG SERPINE1
939 FGG VLDLR
940 FGG VTN
941 FN1 FPR1
942 FN1 FPR2
943 FN1 FPR3
944 FN1 HGF
945 ITGAM FN1
946 ITGB2 FN1
947 FN1 ITGB3
948 FN1 KLK4
949 MMP3 FN1
950 MMP9 FN1
951 FN1 PDGFD
952 PLAU FN1
953 PLAUR FN1
954 PLG FN1
955 FN1 SERPINE1
956 FN1 VLDLR
957 FN1 VTN
958 FPR1 FPR2
959 FPR1 FPR3
960 FPR1 HGF
961 ITGAM FPR1
962 ITGB2 FPR1
963 FPR1 ITGB3
964 FPR1 KLK4
965 MMP3 FPR1
966 MMP9 FPR1
967 FPR1 PDGFD
968 PLAU FPR1
969 PLAUR FPR1
970 PLG FPR1
971 FPR1 SERPINE1
972 FPR1 VLDLR
973 FPR1 VTN
974 FPR2 FPR3
975 FPR2 HGF
976 ITGAM FPR2
977 ITGB2 FPR2
978 FPR2 ITGB3
979 FPR2 KLK4
980 MMP3 FPR2
981 MMP9 FPR2
982 FPR2 PDGFD
983 PLAU FPR2
984 PLAUR FPR2
985 PLG FPR2
986 FPR2 SERPINE1
987 FPR2 VLDLR
988 FPR2 VTN
989 FPR3 HGF
990 ITGAM FPR3
991 ITGB2 FPR3
992 FPR3 ITGB3
993 FPR3 KLK4
994 MMP3 FPR3
995 MMP9 FPR3
996 FPR3 PDGFD
997 PLAU FPR3
998 PLAUR FPR3
999 PLG FPR3
1000 FPR3 SERPINE1
1001 FPR3 VLDLR
1002 FPR3 VTN
1003 ITGAM HGF
1004 ITGB2 HGF
1005 HGF ITGB3
1006 HGF KLK4
1007 MMP3 HGF
1008 MMP9 HGF
1009 HGF PDGFD
1010 PLAU HGF
1011 PLAUR HGF
1012 PLG HGF
1013 HGF SERPINE1
