"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smrdlgth","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smmncv",-0.0231671016663313,-0.117857784032822,0.0896663814783096,-0.158113479614258,-0.0324392803013325,-0.0847892835736275,0.414416074752808,-0.169358104467392,0.223322004079819,-0.396216630935669,-0.243829593062401,-0.256030082702637,0.326320946216583,-0.0115898540243506,-0.161997184157372,0.0307305250316858,-0.0886058956384659,-0.361207634210587,-0.115996614098549,0.0921688675880432,0.142199262976646,-0.0183367263525724,0.026775773614645,1,-0.305248498916626,-0.127025529742241,0.469379276037216,0.434421598911285,-0.0298507381230593,-0.248857051134109,-0.280830860137939,0.0104656787589192,-0.278358191251755,0.204467445611954,-0.144565373659134,0.00603741267696023,-0.137571781873703,-0.0787600129842758,-0.12789748609066,-0.147960916161537,0.188146367669106,-0.130020067095757,0.0022159640211612,0.156942695379257,-0.183234333992004,-0.413162022829056,0.256030082702637,0.242206960916519
"smtrscpt",-0.0135740386322141,0.128759101033211,0.00604861089959741,-0.0332262851297855,0.692072033882141,-0.162685349583626,-0.688060820102692,-0.0235010907053947,0.038226030766964,0.0758617222309113,0.973261952400208,-0.257255703210831,-0.0668583363294601,-0.117186337709427,0.631418824195862,0.126870661973953,0.646873950958252,0.273358702659607,0.750226497650146,0.158085688948631,0.418504029512405,0.633879423141479,0.256546705961227,-0.305248498916626,1,0.742235720157623,-0.6618971824646,-0.658335566520691,0.127866193652153,-0.0633527487516403,-0.104496590793133,0.0799820050597191,0.706981897354126,0.0499936044216156,0.733613193035126,0.648576855659485,0.733129620552063,0.638064801692963,0.742533445358276,0.686766684055328,0.0480109192430973,0.742100954055786,0.0269385632127523,0.113806501030922,-0.0179077107459307,0.566924214363098,0.257255703210831,-0.0823446363210678
"smmppdpr",-0.0340163558721542,0.191399365663528,-0.0159082468599081,0.0324304923415184,0.885568201541901,0.0854806900024414,-0.63886421918869,0.0382364578545094,0.192074745893478,0.0501944608986378,0.771285235881805,-0.455433160066605,-0.0209862887859344,-0.129205405712128,0.785846173763275,0.0401660427451134,0.91878867149353,0.190894812345505,0.991571187973022,-0.0856663659214973,0.491533130407333,0.818583190441132,0.258800864219666,-0.127025529742241,0.742235720157623,1,-0.55646675825119,-0.55090457201004,0.0812223926186562,-0.193099424242973,-0.209805399179459,0.22278293967247,0.835286259651184,0.00858809612691402,0.997151970863342,0.716262876987457,0.997604608535767,0.934039294719696,0.983257055282593,0.911906003952026,-0.0148723376914859,0.984929919242859,0.0957145541906357,0.0903341323137283,0.0356758870184422,0.505675375461578,0.455433160066605,-0.070165604352951
"smcglgth",0.00716708181425929,-0.0735940113663673,0.0553437918424606,-0.251594930887222,-0.491833925247192,0.0133133661001921,0.921239376068115,-0.261887401342392,0.0836450681090355,-0.251804053783417,-0.664076030254364,-0.104448616504669,0.0140498233959079,0.0424961447715759,-0.649332046508789,-0.142855018377304,-0.489335000514984,-0.53406685590744,-0.543849587440491,-0.0118702976033092,-0.206309571862221,-0.341188043355942,-0.0106960302218795,0.469379276037216,-0.6618971824646,-0.55646675825119,1,0.973470568656921,-0.0622932650148869,-0.0865562856197357,-0.259548008441925,-0.193083912134171,-0.734591364860535,0.249775037169456,-0.560474991798401,-0.376195251941681,-0.552059173583984,-0.479861825704575,-0.533833265304565,-0.478693574666977,0.152768984436989,-0.536745190620422,-0.104910962283611,-0.0504605285823345,-0.26303493976593,-0.81474369764328,0.104448616504669,0.362193584442139
"smgappct",-0.00249790214002132,-0.0558536201715469,0.0374426729977131,-0.252980262041092,-0.479968428611755,0.0415832921862602,0.893504798412323,-0.263251096010208,0.111530996859074,-0.197942599654198,-0.668617486953735,-0.114377945661545,0.0111263291910291,0.0493641942739487,-0.631490767002106,-0.13621897995472,-0.480156153440475,-0.54213958978653,-0.536933481693268,-0.040014062076807,-0.204942792654037,-0.33134064078331,0.00277956807985902,0.434421598911285,-0.658335566520691,-0.55090457201004,0.973470568656921,1,-0.0555125288665295,-0.114261128008366,-0.268283993005753,-0.182342603802681,-0.727998554706573,0.2510766685009,-0.555068016052246,-0.367970883846283,-0.546251773834229,-0.477192521095276,-0.526236712932587,-0.456296324729919,0.158748865127563,-0.529936552047729,-0.127005755901337,-0.0562402941286564,-0.266100257635117,-0.79036557674408,0.114377945661545,0.370146572589874
"smunpdrd",-0.0837776735424995,-0.0334189087152481,-0.0132852597162127,-0.206743225455284,0.14666123688221,-0.00145837944000959,-0.0981208980083466,-0.167957380414009,0.0364940166473389,-0.00446180161088705,0.149864017963409,-0.165385231375694,-0.071210078895092,-0.01269765291363,0.121384017169476,0.0813598334789276,0.0123303076252341,0.0108254542574286,0.152531996369362,0.00101964687928557,0.163355425000191,0.211128517985344,0.232478141784668,-0.0298507381230593,0.127866193652153,0.0812223926186562,-0.0622932650148869,-0.0555125288665295,1,-0.0380647853016853,-0.174237072467804,-0.146925300359726,0.120627745985985,0.192622542381287,0.0615965574979782,0.231536358594894,0.0672039389610291,0.00799705646932125,0.102932877838612,0.135921090841293,0.185919001698494,0.0992111042141914,-0.0327952578663826,0.0884046033024788,-0.210909828543663,0.035215001553297,0.165385231375694,0.120288543403149
"smntrnrt",0.375695705413818,-0.411898821592331,0.105016693472862,-0.0591253340244293,-0.241535320878029,-0.299836307764053,-0.0440296605229378,-0.0757829695940018,-0.987791121006012,0.0153773473575711,0.0086170444265008,0.147401705384254,0.21337927877903,0.127059146761894,-0.435104221105576,-0.0804456099867821,-0.323951423168182,-0.0151887470856309,-0.195966154336929,0.300194829702377,-0.0697770491242409,-0.137399286031723,-0.118082210421562,-0.248857051134109,-0.0633527487516403,-0.193099424242973,-0.0865562856197357,-0.114261128008366,-0.0380647853016853,1,0.0646163523197174,-0.600015044212341,-0.190609157085419,-0.0434641689062119,-0.185677722096443,-0.145656332373619,-0.191233187913895,-0.257779568433762,-0.205801203846931,-0.455229550600052,-0.0938908085227013,-0.200797975063324,0.127547383308411,-0.00079578411532566,-0.0898979753255844,-0.0891435891389847,-0.147401705384254,-0.123109966516495
"smmpunrt",-0.0497180260717869,-0.0745967552065849,-0.120031371712685,0.797762811183929,-0.294907063245773,0.277411878108978,-0.207141116261482,0.810152590274811,-0.0205988343805075,0.316666424274445,-0.169193640351295,0.85673576593399,-0.0627515912055969,-0.0210334397852421,0.0990233048796654,-0.0679382830858231,-0.106122046709061,0.68615597486496,-0.26556596159935,-0.279260545969009,-0.447014629840851,-0.573623061180115,-0.395220905542374,-0.280830860137939,-0.104496590793133,-0.209805399179459,-0.259548008441925,-0.268283993005753,-0.174237072467804,0.0646163523197174,1,0.553428888320923,0.115198269486427,-0.752695322036743,-0.193216249346733,-0.445345789194107,-0.205993101000786,-0.149900421500206,-0.272444546222687,-0.192743092775345,-0.551984131336212,-0.264927268028259,0.174322500824928,-0.153009921312332,0.809472143650055,0.346298933029175,-0.85673576593399,-0.529765188694
"smexpeff",-0.20835317671299,0.169873297214508,-0.11547289788723,0.734020948410034,0.148313581943512,0.388256222009659,-0.202258795499802,0.750731706619263,0.628231108188629,0.178198516368866,0.00359550141729414,0.252031028270721,-0.0865298956632614,-0.112464509904385,0.480653256177902,0.0492503605782986,0.385887175798416,0.34054434299469,0.167969778180122,-0.389032602310181,-0.0701992958784103,-0.144464299082756,-0.230470508337021,0.0104656787589192,0.0799820050597191,0.22278293967247,-0.193083912134171,-0.182342603802681,-0.146925300359726,-0.600015044212341,0.553428888320923,1,0.345651924610138,-0.567802786827087,0.232728585600853,-0.0880493223667145,0.226003795862198,0.328903317451477,0.162528559565544,0.328844517469406,-0.383494347333908,0.169856145977974,0.224162101745605,0.0331394821405411,0.747699797153473,0.350501209497452,-0.252031028270721,-0.400000363588333
"smmppdun",-0.10589599609375,0.243398934602737,-0.0775739178061485,0.210005342960358,0.722419679164886,0.184940159320831,-0.816953301429749,0.22623048722744,0.201357558369637,0.185015961527824,0.694250524044037,-0.0830384120345116,-0.0712869539856911,-0.118903316557407,0.945391178131104,0.128113552927971,0.795465230941772,0.55166882276535,0.826786756515503,-0.18667271733284,0.350450456142426,0.62367981672287,0.167775690555573,-0.278358191251755,0.706981897354126,0.835286259651184,-0.734591364860535,-0.727998554706573,0.120627745985985,-0.190609157085419,0.115198269486427,0.345651924610138,1,-0.188130617141724,0.838906645774841,0.583863496780396,0.8323894739151,0.776721239089966,0.818902552127838,0.803936421871185,-0.133224084973335,0.819949924945831,0.0490983799099922,0.0594183057546616,0.229156166315079,0.709423303604126,0.0830384120345116,-0.254927784204483
"sme2mmrt",0.0515446402132511,0.0247177872806787,0.0900197774171829,-0.839100003242493,0.143573671579361,-0.255531311035156,0.224454909563065,-0.836969375610352,0.00887557491660118,-0.258218586444855,0.107647322118282,-0.541052281856537,0.0552782490849495,-0.0798412188887596,-0.176609143614769,0.238900408148766,-0.142202913761139,-0.445347964763641,0.0740771368145943,0.257375925779343,0.318127632141113,0.357950150966644,0.433962374925613,0.204467445611954,0.0499936044216156,0.00858809612691402,0.249775037169456,0.2510766685009,0.192622542381287,-0.0434641689062119,-0.752695322036743,-0.567802786827087,-0.188130617141724,1,-0.00439860252663493,0.326701790094376,0.00818452797830105,-0.120150618255138,0.0901275873184204,0.0337884165346622,0.785499751567841,0.0841011628508568,-0.19300639629364,0.116941452026367,-0.809954464435577,-0.330273598432541,0.541052281856537,0.585274517536163
